LR,ETR,XGB,AdaBoost,GBM,SVR,KNR,DTR,RFR
1493.21,1210.51,1719.43,4568.06,2566.08,6538.84,2252.86,2476.22,1354.5
1991.87,1828.58,2629.75,5643.24,3399.17,7983.93,3501.71,3648.31,2036.21
1427.16,1145.77,1957.3,4780.91,2607.43,6528.32,2158.66,2737.9,1991.82
1953.62,1742.99,2967.28,5781.69,3438.87,7955.94,3355.69,4504.22,3264.65
1351.03,1124.04,1659.93,4707.94,2509.47,6500.03,2041.29,3301.63,2448.68
1873.92,1666.21,2443.94,5754.38,3340.29,7881.94,3114.46,6221.4,4544.57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
