LR,ETR,XGB,AdaBoost,GBM,SVR,KNR,DTR,RFR
2663.09,1448.69,2521.36,5356.85,2751.07,5426.07,2408.77,2027.71,1431.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2520.01,1464.8,1894.31,5031.88,2295.18,5423.68,2682.97,2094.52,2158.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2294.07,1301.75,1945.52,4742.5,2224.86,5417.8,2878.24,2259.18,1943.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
