LR,ETR,XGB,AdaBoost,GBM,SVR,KNR,DTR,RFR
965.57,1313.15,1663.87,4560.6,2535.61,6652.12,2052.8,3482.22,2789.22
1206.86,1986.92,2524.27,5656.23,3339.62,8093.42,3156.16,6964.65,5664.69
961.59,1225.81,1845.8,4518.76,2526.69,6641.66,2008.79,3137.04,2653.68
1200.93,1881.02,2907.47,5496.6,3315.2,8065.11,3049.26,5748.64,5379.79
952.66,1196.71,1873.18,4653.59,2483.68,6612.9,1892.38,3339.69,2668.7
1189.75,1824.49,2852.95,5586.74,3272.81,7988.86,2883.15,6399.97,5445.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
