LR,ETR,XGB,AdaBoost,GBM,SVR,KNR,DTR,RFR
5886.02,3285.28,4109.93,5231.82,3686.75,5427.61,3943.73,5445.9,5100.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5246.84,3201.97,2552.11,4987.82,2721.54,5424.91,3696.17,4802.23,3609.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4663.97,2936.02,2462.04,5052.04,2454.91,5417.29,3379.81,4656.56,3382.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
